portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
default,4989944,ETH-GBP,BUY,2021-05-01T21:08:07.056Z,0.04743124,ETH,2130,0.505142706,-101.533683906,GBP
default,5219995,ETH-GBP,BUY,2021-05-06T11:06:28.537Z,0.07960199,ETH,2500,0.995024875,-199.999999875,GBP
default,21471465,BTC-GBP,BUY,2021-01-29T11:57:07Z,0.00391818,BTC,27076.35,4.23,110.32,GBP
default,13785705,BTC-GBP,BUY,2021-02-08T14:08:11.613Z,0.00632462,BTC,31779.73,1.004973579763,-201.999689532363,GBP
default,14479091,BTC-GBP,BUY,2021-02-22T10:39:55.815Z,0.00367538,BTC,39300.06,0.722213272614,-145.164867795414,GBP
default,15127001,BTC-GBP,BUY,2021-03-06T00:28:05.161Z,0.00294450,BTC,35424.84,0.5215422069,-104.8299835869,GBP
default,15307013,BTC-GBP,BUY,2021-03-11T08:46:28.154Z,0.00205550,BTC,39440,0.4053446,-81.4742646,GBP
default,15502516,BTC-GBP,BUY,2021-03-16T00:00:42.534Z,0.00252565,BTC,40000,0.50513,-101.53113,GBP
default,15830257,BTC-GBP,BUY,2021-03-25T01:58:58.696Z,0.00261848,BTC,38000,0.4975112,-99.9997512,GBP
default,16077197,BTC-GBP,BUY,2021-04-01T08:51:06.082Z,0.00464965,BTC,42800,0.9950251,-200.0000451,GBP
default,16433285,BTC-GBP,BUY,2021-04-14T07:01:38.190Z,0.00424318,BTC,46900,0.99502571,-200.00016771,GBP
default,17099039,BTC-GBP,BUY,2021-04-26T10:04:27.028Z,0.00387672,BTC,38500,0.7462686,-149.9999886,GBP
default,17166805,BTC-GBP,BUY,2021-04-28T04:50:31.479Z,0.00503810,BTC,39500,0.99502475,-199.99997475,GBP
default,17176245,BTC-GBP,BUY,2021-04-28T10:41:31.252Z,0.00199428,BTC,39150,0.39038031,-78.46644231,GBP
default,17850050,BTC-GBP,BUY,2021-05-13T09:10:52.944Z,0.00560009,BTC,35536,0.9950239912,-199.9998222312,GBP
default,19048089,BTC-GBP,BUY,2021-05-26T10:28:58.371Z,0.00710732,BTC,28000,0.9950248,-199.9999848,GBP
default,19711583,BTC-GBP,BUY,2021-06-14T08:39:00.868Z,0.00713280,BTC,27900,0.9950256,-200.0001456,GBP
default,20172510,BTC-GBP,BUY,2021-06-26T08:39:37.335Z,0.00904568,BTC,22000,0.9950248,-199.9999848,GBP
default,20608323,BTC-GBP,BUY,2021-07-14T06:56:50.810Z,0.00865239,BTC,23000,0.99502485,-199.99999485,GBP
default,20957472,BTC-GBP,BUY,2021-07-28T06:42:55.351Z,0.00698263,BTC,28500,0.995024775,-199.999979775,GBP
default,21471465,BTC-GBP,BUY,2021-08-14T09:56:35.018Z,0.00585309,BTC,34000,0.9950253,-200.0000853,GBP
default,21471465,BTC-GBP,BUY,2021-08-28T16:35:00.018Z,0.00282957,BTC,35425,0,-100,GBP
default,21853762,BTC-GBP,BUY,2021-08-28T18:56:27.444Z,0.00560577,BTC,35500,0.995024175,-199.999859175,GBP
